,name,symbol,currentPrice,r,s,m,v,PE,revenueGrowth,operatingCashflow,freeCashflow,marketValue
0,三地開發,1438.TW,29.2,-4.3938820211683964e-05,10.737544047842567,-3.779749325255102e-05,0.035121304755239266,-17.296518375721885,0.0,-443603008,-327694016,2663215200.0
0,雋揚,1439.TW,22.7,8.192125378918597e-05,18.507949168078657,9.652227502163505e-05,0.022384821055013306,11.649611871222897,-0.897,-754092032,-1022291648,2088400000.0
0,南紡,1440.TW,14.1,0.00010228009802254528,11.532009329628742,0.00012287980260030742,0.02123373185766734,-33.951611670733335,-0.102,836782016,-780107136,23361161548.8
0,大東,1441.TW,13.15,-0.00020805122581878086,17.28784282277636,-0.00019293829204672727,0.023990914909649837,-2.7806758577607997,-0.387,-185126000,-29213124,832331880.0
0,名軒,1442.TW,35.75,4.750567341035794e-05,17.599187837043726,0.00010985406636957265,0.023711587206305274,8.51311581425982,0.236,-502119008,-580324224,13092079000.0
0,立益物流,1443.TW,28.75,7.108826272369384e-05,8.596706202989076,9.1472320186073e-05,0.024778591779949843,7.119614891498577,-0.031,314158016,-113845504,3891111480.0
0,力麗,1444.TW,10.2,3.10584263680887e-05,7.518333990016741,4.740203468298945e-05,0.023026448037131293,-35.817330861522784,-0.404,2389612032,974035008,10040778163.199999
0,大宇,1445.TW,20.1,7.880110396464e-05,8.158914914792648,0.00011744230748870391,0.017780785281882816,16.348939415789665,-0.021,109683000,-153866496,2626386600.0
0,宏和,1446.TW,37.25,5.4825390694866905e-05,18.235989497584345,8.038488628879344e-05,0.021516752438417008,-52.16286225297945,0.023,-220459008,-235868128,5129697500.0
0,力鵬,1447.TW,7.39,1.9007327430892554e-06,6.938469798185516,1.78416015619179e-05,0.02300635136351539,-11.014662137793097,-0.023,1465138944,1554844800,6230080261.759999
0,佳和,1449.TW,13.95,-0.0006146783487274714,68.88016796774828,-0.0005710353325905316,0.028835459691361934,296.2095968952317,-0.114,247208000,331602240,1128150450.0
0,年興,1451.TW,18.9,-0.00032566168528982915,54.77922573370187,-0.0003316759904888878,0.015403024142390243,-62.03873249600998,-0.291,673065024,811379776,3901904999.9999995
0,宏益,1452.TW,16.3,5.091948195629133e-05,12.514868880117316,8.254480473165455e-05,0.020571151326055893,59.63638364554275,-0.453,605574976,-14426125,2162048300.0
0,大將,1453.TW,13.6,-0.00040456177674515735,32.52660983390085,-0.0003719068233916668,0.026579838742259356,293.89122284777716,-0.993,74108000,-32692500,1451691200.0
0,台富,1454.TW,16.9,0.00012731378962246552,7.451354307076391,0.00016387602610373669,0.01760710038817838,33.945344668415395,-0.212,210970000,70420376,2063827999.9999998
0,集盛,1455.TW,10.05,2.4359886659089708e-05,9.065209007368662,4.990827787795451e-05,0.022330926677345517,-9.253325123780021,-0.32,439331008,-231435376,5343464400.0
0,怡華,1456.TW,16.65,-0.0004254231732918562,32.23283391254752,-0.0004060666623814147,0.030199862176519512,48.430057979595006,3.003,-4112018944,-4121658368,1560437999.9999998
0,宜進,1457.TW,17.5,-9.853044515634636e-05,10.612657682283487,-6.885668785226514e-05,0.022252084954787466,81.48814673679719,-0.383,198606000,-499089248,3903952640.0
0,聯發,1459.TW,9.75,1.6450415080103447e-05,8.625123280355908,4.6247526573043686e-05,0.02057220115013505,-16.279006926349794,-0.623,4814000,-64489752,3095478672.0
0,宏遠,1460.TW,7.45,-8.62632838914726e-05,10.596163015733266,-6.589219167959171e-05,0.019874794139369923,30.255845272516282,-0.304,1193465984,195745248,5024764428.8
0,強盛,1463.TW,15.3,5.7306890286366875e-05,11.10263612088148,6.659328577464634e-05,0.02076158388634098,13.716510310881521,-0.441,64420000,-134415120,2515212777.6
0,得力,1464.TW,13.3,6.209986882265549e-05,11.452224201659394,7.925445277498779e-05,0.01939151179228584,28.6494022420342,-0.348,1362397056,1293875328,5421612000.0
